Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	tree_length
0	-2356.624	-2428.148	71.52462	0.0807999	0.0912871	0.0152055	0.0692029	0.0885487	0.154463	0.0855477	0.0130713	0.0792073	0.0273131	0.0927155	0.152609	0.0310134	0.0139075	0.0044813	0.0335872	0.023784	0.0443627	0.0265474	0.0215407	0.0128373	0.0294079	0.010339	0.0725974	0.041537	0.00203405	0.000997471	0.040458	0.0384681	0.00195268	0.0140803	0.0308191	0.0213429	0.0123919	0.0343888	0.00256541	0.00566759	0.0121931	0.141766	0.0318263	0.0354018	0.0203153	0.035505	0.00985765	0.0627619	0.0202596	0.0391758	0.0238106	0.174894	0.00137645	0.00264876	0.463768	1.3128	0.156458	0.404675	0.754092	1.3261	2.47112	6.39148	1.341268	0.2060716	0.0378831	0.0428	0.00712911	0.0324459	0.0415161	0.0724202	0.0401091	0.00612852	0.0371364	0.0128058	0.0434698	0.0715511	0.0145407	0.00652056	0.00210106	0.0157474	0.0111511	0.0207995	0.0124468	0.0100994	0.0060188	0.0137879	0.00484745	0.0340374	0.0194747	0.000953665	0.000467666	0.0189688	0.0180358	0.000915516	0.00660158	0.0144496	0.0100066	0.00580994	0.0161232	0.0012028	0.00265726	0.00571675	0.0664672	0.0149218	0.0165982	0.00952487	0.0166465	0.00462177	0.029426	0.00949873	0.0183676	0.0111636	0.0819993	0.000645352	0.00124188	2.132873
36	-2358.292	-2428.679	70.38771	0.125183	0.0925588	0.0741087	0.06128	0.14614	0.173297	0.0429292	0.012447	0.0983747	0.0352321	0.0822908	0.141267	0.058193	0.0406163	0.00394108	0.0163631	0.0153563	0.0499956	0.0370161	0.0271204	0.0129825	0.0197804	0.0134639	0.0883974	0.0401341	0.00124287	0.00588811	0.0310059	0.100768	0.0251085	0.00291288	0.0370442	0.0248614	0.0107755	0.0263582	0.00823848	0.000290169	0.0265546	0.209182	0.0262881	0.0854955	0.0716894	0.082736	0.00582264	0.113521	0.0331638	0.0811898	0.0259438	0.214	0.00124757	0.0081885	0.530068	1.27413	0.151133	0.397898	0.750129	1.3331	2.51321	6.61669	1.366308	0.2426809	0.0452251	0.033439	0.0267735	0.0221389	0.0527966	0.0626077	0.0155092	0.00449677	0.0355402	0.0127284	0.0297295	0.0510361	0.0210236	0.0146736	0.00142381	0.00591154	0.00554783	0.0180621	0.0133729	0.00979789	0.00469023	0.00714614	0.00486415	0.0319356	0.0144994	0.000449015	0.00212722	0.0112016	0.0364049	0.00907103	0.00105235	0.0133831	0.00898178	0.0038929	0.00952253	0.00297634	0.00010483	0.00959346	0.0755719	0.00949721	0.0308873	0.0258995	0.0298903	0.00210357	0.0410121	0.0119812	0.0293317	0.0093728	0.0773125	0.000450714	0.00295829	2.767986
72	-2372.115	-2442.714	70.59888	0.142273	0.133108	0.0735297	0.0730911	0.0968226	0.118801	0.10184	0.0203843	0.0510615	0.0568001	0.091496	0.156928	0.0482122	0.067467	0.00201339	0.0306459	0.0223268	0.133482	0.0397761	0.0263708	0.0156755	0.0352862	0.0210538	0.00749738	0.0353175	0.014914	0.0102794	0.0375324	0.0137841	0.0206328	0.0166063	0.00343988	0.074386	0.00476162	0.307641	0.0067457	0.0306825	0.109116	0.00300196	0.0214377	0.166254	0.0162831	0.0166275	0.0287304	8.49293e-05	0.031074	0.112411	0.0390169	0.011013	0.0417004	0.0252387	0.527099	1.27586	0.199625	0.455736	0.782573	1.27784	2.19425	5.00939	1.165091	0.2409942	0.0514615	0.0481464	0.0265963	0.0264377	0.0350216	0.0429715	0.0368363	0.00737318	0.0184694	0.0205451	0.0330949	0.0567623	0.0174388	0.0244034	0.000728259	0.0110849	0.00807578	0.0482816	0.0143874	0.00953854	0.00566998	0.0127633	0.00761534	0.00271187	0.0127746	0.00539452	0.00371814	0.0135758	0.00498581	0.00746308	0.00600665	0.00124423	0.0269061	0.00172232	0.111276	0.00243998	0.0110981	0.0394683	0.00108584	0.00775422	0.0601355	0.00588972	0.0060143	0.010392	3.07197e-05	0.0112397	0.0406599	0.0141128	0.0039835	0.0150834	0.00912904	2.764656
108	-2357.986	-2428.791	70.80497	0.15631	0.0982883	0.0570063	0.0705215	0.0701969	0.15973	0.0748127	0.0221904	0.0998621	0.0425412	0.0981285	0.188934	0.0612774	0.0447877	0.0140961	0.0351879	0.0341464	0.0330102	0.0430806	0.0326111	0.022512	0.0173634	0.00762561	0.0416615	0.0268764	0.01543	0.0113427	0.00796945	0.0145934	0.0148226	0.00835465	0.0140953	0.0481294	0.00183202	0.221265	0.0560301	0.0408865	0.121165	0.0246809	0.0230349	0.152956	0.00357775	0.0581576	0.0300705	0.000450257	0.0606504	0.024527	0.0214007	0.00622658	0.0260987	0.013687	0.485677	1.30002	0.158455	0.407185	0.755548	1.32354	2.45589	6.31095	1.332099	0.2179281	0.0607221	0.0381822	0.0221453	0.0273956	0.0272695	0.0620505	0.0290626	0.00862034	0.0387936	0.016526	0.0381201	0.0733956	0.0238045	0.0173987	0.00547595	0.0136695	0.0132649	0.0128235	0.0167356	0.0126685	0.00874526	0.00674516	0.00296233	0.0161843	0.0104407	0.00599412	0.00440631	0.0030959	0.0056691	0.00575815	0.00324554	0.00547562	0.0186969	0.000711689	0.085955	0.0217661	0.0158832	0.0470691	0.00958781	0.00894838	0.059419	0.00138985	0.0225926	0.0116815	0.000174912	0.0235609	0.00952802	0.00831356	0.00241885	0.0101386	0.005317	2.574193
144	-2358.072	-2429.34	71.26713	0.113958	0.0599277	0.022371	0.107797	0.0763886	0.1386	0.0271822	0.0422184	0.0486554	0.0411214	0.0619684	0.103287	0.0304199	0.013288	0.00055308	0.0301283	0.0182031	0.0687296	0.0145871	0.0417457	0.0250681	0.0241606	0.0079649	0.0149983	0.0297783	0.00448162	0.00174784	0.196627	0.00221557	0.0256261	0.0128371	0.00984356	0.00350652	0.000368198	0.0279779	0.00622626	0.0216715	0.0593472	0.00915685	0.0218663	0.0157724	0.203081	0.00831806	0.0127633	0.00309032	0.105317	0.091394	0.012104	0.0160526	0.0259232	0.0322416	0.614519	1.22486	0.137912	0.380524	0.739753	1.3518	2.62795	7.25098	1.432499	0.2926605	0.0544559	0.0286371	0.0106903	0.051512	0.0365032	0.0662314	0.0129893	0.0201745	0.0232505	0.0196503	0.0296123	0.0493569	0.0145365	0.00634983	0.000264296	0.0143972	0.00869855	0.0328432	0.00697063	0.0199487	0.0119791	0.0115454	0.00380612	0.00716712	0.0142299	0.0021416	0.000835228	0.0939607	0.00105874	0.0122457	0.00613436	0.00470386	0.00167563	0.000175948	0.0133696	0.00297529	0.010356	0.0283598	0.00437571	0.0104491	0.00753702	0.0970446	0.00397488	0.00609908	0.00147675	0.050327	0.0436737	0.00578405	0.00767094	0.0123877	0.015407	2.092656
180	-2353.107	-2424.828	71.7207	0.162143	0.0713545	0.0460992	0.0454926	0.0424279	0.115114	0.0452442	0.0403685	0.066902	0.0464569	0.0491577	0.102259	0.0172096	0.0148569	0.00753078	0.0163081	0.0125949	0.0871736	0.0353694	0.027685	0.0157779	0.0154792	0.0188239	0.0243417	0.0229999	0.00283252	0.00284841	0.142111	0.00818215	0.036531	0.0132373	0.0171991	0.0146177	0.000616407	0.0104867	0.0153221	0.014301	0.066087	0.0156094	0.0200139	0.000817028	0.160783	0.0068882	0.0347664	0.0013883	0.0381788	0.0709277	0.0146281	0.017882	0.0118208	0.0102034	0.414182	1.34173	0.112711	0.344859	0.717386	1.39395	2.89974	8.87225	1.578407	0.1800711	0.085453	0.0376055	0.0242954	0.0239757	0.0223605	0.060668	0.0238448	0.0212752	0.0352589	0.0244838	0.0259072	0.0538926	0.00906988	0.00782992	0.00396889	0.00859474	0.0066378	0.0459425	0.0186405	0.0145907	0.00831534	0.00815788	0.00992065	0.0128287	0.0121215	0.0014928	0.00150118	0.0748959	0.00431219	0.0192527	0.00697636	0.00906431	0.00770388	0.000324861	0.00552673	0.00807512	0.00753697	0.0348294	0.00822653	0.0105478	0.000430593	0.0847362	0.00363024	0.0183227	0.000731666	0.0201211	0.0373805	0.00770936	0.00942425	0.00622983	0.00537745	1.897449
216	-2359.618	-2430.433	70.81472	0.27137	0.0747554	0.0665378	0.0739588	0.106598	0.113635	0.092736	0.0777179	0.0624756	0.023932	0.0906861	0.131172	0.0353022	0.0325526	0.015713	0.0388529	0.0287057	0.0714182	0.0459736	0.0242224	0.0177867	0.0162888	0.00949266	0.0104065	0.0268518	0.000269957	0.00029954	0.0120024	0.0395492	0.00897366	0.0737789	0.0124537	0.00572641	0.0303703	0.008195	0.250707	0.0198611	0.00917112	0.00761208	0.0846949	0.0602923	0.0234285	0.0404189	0.024416	0.0593227	0.00129213	0.0180995	0.0236082	0.00141729	0.0129242	0.162325	0.395252	1.35277	0.124695	0.362279	0.7285	1.37268	2.7603	8.01957	1.505346	0.1704385	0.106405	0.0293118	0.0260897	0.0289995	0.0417972	0.0445564	0.0363621	0.0304734	0.0244969	0.00938382	0.0355583	0.0514327	0.0138421	0.012764	0.00616112	0.0152343	0.0112556	0.0280033	0.0180264	0.00949766	0.00697422	0.00638687	0.0037221	0.00408043	0.0105287	0.000105851	0.00011745	0.00470619	0.0155074	0.0035186	0.0289289	0.00488311	0.00224534	0.0119083	0.00321328	0.0983031	0.00778758	0.00359602	0.00298472	0.0332091	0.0236408	0.00918639	0.0158484	0.00957357	0.0232606	0.000506649	0.00709688	0.00925686	0.000555722	0.00506762	0.0636483	2.550351
252	-2370.806	-2442.363	71.55712	0.123971	0.0617383	0.0264	0.0474165	0.0605279	0.0981342	0.127555	0.000443459	0.0433499	0.0396805	0.0726351	0.0418577	0.0286608	0.0156197	0.0251632	0.0260404	0.00881546	0.0553668	0.0659153	0.0193164	0.01881	0.0157623	0.0174203	0.0478513	0.0239833	0.00291203	0.033881	0.128887	0.0139144	0.0179529	0.0175571	0.00886038	0.00119387	0.00104254	0.0297208	0.043976	0.0193089	0.0397244	0.0160932	0.0160779	0.00017443	0.264919	0.0059187	0.0350595	0.0101273	0.027308	0.0618722	0.0114958	0.0174062	0.0221162	0.0287929	0.531785	1.27313	0.139894	0.383182	0.741361	1.34887	2.60973	7.14825	1.42218	0.2436588	0.0623371	0.0310441	0.0132748	0.0238426	0.0304355	0.0493452	0.0641391	0.000222986	0.0217978	0.0199527	0.0365234	0.0210474	0.0144116	0.00785413	0.0126529	0.013094	0.00443271	0.0278403	0.0331445	0.00971295	0.00945832	0.00792584	0.00875951	0.0240612	0.0120596	0.00146427	0.0170365	0.064809	0.00699662	0.00902731	0.00882828	0.0044553	0.000600318	0.000524222	0.0149446	0.0221126	0.00970915	0.0199748	0.00809218	0.00808449	8.77095e-05	0.13321	0.00297612	0.0176291	0.00509234	0.0137314	0.0311114	0.00578047	0.00875241	0.0111208	0.014478	1.988729
288	-2348.432	-2419.583	71.15104	0.118355	0.100851	0.0714656	0.105695	0.0672895	0.110307	0.0244212	0.0154264	0.0724872	0.0134057	0.0721817	0.238953	0.0276597	0.022954	0.000830999	0.0373686	0.0153717	0.0989207	0.0327066	0.0314145	0.0346033	0.00281332	0.0112696	0.0154045	0.0242697	0.00623417	0.00193575	0.225749	0.00614773	0.0100294	0.0023364	0.0231381	0.0153184	0.0100376	0.0398177	0.00569597	0.0151751	0.0499686	0.0272848	0.0257623	0.00101164	0.211431	0.00282314	0.0140163	0.0065931	0.0733932	0.0354057	0.00894085	0.0199053	0.0249714	0.018115	0.486562	1.29951	0.125261	0.36308	0.729002	1.37174	2.75422	7.98335	1.502073	0.2184124	0.0526567	0.0448691	0.0317955	0.0470246	0.0299376	0.0490763	0.0108651	0.00686332	0.03225	0.0059643	0.0321141	0.106312	0.012306	0.0102124	0.000369717	0.0166255	0.00683897	0.0440105	0.0145514	0.0139765	0.0153952	0.00125167	0.00501391	0.00685355	0.0107977	0.00277362	0.000861226	0.100437	0.00273517	0.00446215	0.00103948	0.0102943	0.00681524	0.00446578	0.0177152	0.00253418	0.00675151	0.0222313	0.0121392	0.0114618	0.000450084	0.094067	0.00125604	0.00623594	0.00293331	0.0326531	0.0157522	0.00397784	0.00885598	0.01111	0.00805949	2.247662
324	-2372.078	-2443.565	71.48664	0.0653206	0.060271	0.0264004	0.0139858	0.0384893	0.119303	0.10931	0.0384423	0.0543614	0.0222111	0.0489685	0.154505	0.0333624	0.00981579	0.0105408	0.0260035	0.0172016	0.0465646	0.0237909	0.0261741	0.0314426	0.0251539	0.0192225	0.038316	0.0156839	0.00265012	0.00713268	0.00883559	0.0214978	0.00411197	0.00741541	0.0180277	0.009706	0.00927944	0.00391065	0.0246059	0.0105568	0.041951	0.0982741	0.0295671	0.0537898	0.00232419	0.00783019	0.00827253	0.0104752	0.00611758	0.0285264	0.024238	0.243934	0.0213022	0.0308559	0.752039	1.14464	0.137013	0.379313	0.739018	1.35315	2.63635	7.29855	1.437227	0.3832542	0.0360882	0.0332984	0.0145856	0.00772683	0.0212645	0.0659121	0.0603912	0.0212385	0.0300335	0.0122711	0.027054	0.0853603	0.018432	0.005423	0.00582355	0.0143664	0.00950351	0.0257259	0.0131439	0.0144606	0.0173714	0.013897	0.01062	0.0211687	0.008665	0.00146413	0.00394065	0.00488146	0.0118771	0.00227177	0.00409685	0.00995989	0.00536235	0.00512669	0.00216055	0.0135942	0.00583242	0.023177	0.0542942	0.0163352	0.0297177	0.00128407	0.00432601	0.00457039	0.00578732	0.00337983	0.0157602	0.013391	0.134768	0.011769	0.0170472	1.810028
